iter	Passed	Remaining
0	61	1220272
1	68	680150
2	75	500072
3	81	408243
4	87	350770
5	93	311311
6	98	282375
7	104	261652
8	110	245830
9	116	233332
10	122	222862
11	128	214061
12	134	206857
13	140	200252
14	146	194914
15	152	190326
16	158	186410
17	164	182963
18	170	179508
19	176	176127
20	181	173088
21	188	170890
22	194	168692
23	200	166536
24	206	164687
25	213	163870
26	218	161902
27	224	160436
28	230	158967
29	236	157631
30	242	156277
31	248	155222
32	254	154289
33	261	153560
34	267	152561
35	273	151531
36	279	150738
37	285	149960
38	291	149345
39	297	148494
40	303	147883
41	309	147087
42	315	146365
43	321	145668
44	327	145038
45	333	144646
46	339	144032
47	345	143500
48	351	143117
49	357	142736
50	364	142389
51	369	141888
52	375	141416
53	381	140884
54	387	140487
55	393	140178
56	399	139760
57	405	139331
58	411	138940
59	416	138503
60	422	138164
61	428	137819
62	434	137528
63	440	137220
64	446	136887
65	452	136568
66	458	136442
67	466	136635
68	472	136341
69	477	136091
70	483	135823
71	489	135607
72	496	135403
73	502	135220
74	508	135076
75	514	134902
76	520	134749
77	526	134585
78	533	134474
79	539	134234
80	545	134123
81	551	133973
82	557	133797
83	563	133620
84	569	133465
85	575	133343
86	581	133183
87	587	133016
88	593	132863
89	599	132718
90	605	132520
91	611	132357
92	617	132230
93	623	132085
94	629	131955
95	635	131756
96	641	131636
97	647	131507
98	653	131294
99	659	131315
100	665	131204
101	671	131069
102	677	130956
103	684	130858
104	690	130739
105	695	130610
106	702	130523
107	708	130472
108	714	130389
109	720	130205
110	725	130072
111	732	130050
112	738	129881
113	744	129793
114	749	129677
115	756	129604
116	761	129481
117	768	129432
118	774	129343
119	779	129192
120	785	129075
121	791	128931
122	797	128826
123	803	128748
124	809	128660
125	815	128583
126	821	128519
127	826	128380
128	832	128297
129	838	128178
130	844	128093
131	850	128017
132	856	127928
133	862	127879
134	868	127813
135	874	127704
136	880	127608
137	886	127530
138	892	127480
139	898	127415
140	904	127401
141	910	127330
142	916	127317
143	922	127266
144	928	127153
145	934	127120
146	940	127067
147	946	127009
148	952	126935
149	956	126577
150	962	126530
151	968	126455
152	974	126407
153	980	126312
154	987	126431
155	993	126431
156	1000	126394
157	1004	126098
158	1010	126036
159	1016	125986
160	1022	125950
161	1028	125907
162	1034	125856
163	1039	125772
164	1045	125713
165	1052	125709
166	1058	125689
167	1062	125417
168	1068	125377
169	1074	125304
170	1079	125234
171	1085	125189
172	1092	125180
173	1098	125123
174	1104	125090
175	1110	125042
176	1112	124610
177	1116	124319
178	1122	124287
179	1128	124212
180	1134	124177
181	1137	123915
182	1143	123859
183	1149	123829
184	1155	123785
185	1161	123764
186	1167	123732
187	1173	123665
188	1179	123610
189	1184	123546
190	1190	123514
191	1196	123471
192	1202	123439
193	1208	123384
194	1214	123335
195	1220	123303
196	1226	123256
197	1232	123213
198	1238	123193
199	1243	123140
200	1249	123120
201	1255	123082
202	1262	123098
203	1268	123072
204	1274	123043
205	1280	123034
206	1286	123016
207	1292	122994
208	1298	122922
209	1304	122889
210	1310	122866
211	1315	122790
212	1321	122780
213	1327	122729
214	1333	122671
215	1338	122626
216	1344	122603
217	1350	122575
218	1354	122365
219	1360	122306
220	1366	122262
221	1371	122216
222	1377	122186
223	1383	122153
224	1389	122109
225	1394	122042
226	1400	122029
227	1406	121979
228	1412	121944
229	1418	121911
230	1423	121865
231	1429	121832
232	1435	121758
233	1440	121709
234	1447	121737
235	1452	121678
236	1458	121649
237	1464	121607
238	1470	121549
239	1475	121488
240	1481	121460
241	1486	121401
242	1492	121368
243	1498	121306
244	1504	121280
245	1510	121261
246	1515	121210
247	1521	121167
248	1527	121124
249	1532	121080
250	1538	121063
251	1544	121043
252	1550	120985
253	1555	120947
254	1561	120911
255	1563	120588
256	1569	120549
257	1574	120516
258	1581	120504
259	1587	120493
260	1593	120481
261	1598	120431
262	1604	120407
263	1610	120380
264	1616	120350
265	1621	120313
266	1627	120295
267	1633	120268
268	1639	120257
269	1647	120356
